"input text","origin case+#chunk","output text"
"630 F.3d at 843-44. Similarly, in Henry A., social workers allegedly placed the foster children in foster homes that had a known history of chronic neglect and abuse. 678 F.3d at 1002.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#70",""
"The Henry A. court held that a foster child's rights under the state-created danger doctrine were clearly established in cases where a social worker placed a foster child in a home with a known danger of abuse. Id. Contrary to Plaintiff's argument, the Court finds no clear authority extending the state created danger doctrine to situations where a state official failed to provide necessary care or prevent a child's own self-destructive behaviors, as opposed to affirmatively exposing the child to a third-party danger. Plaintiff has not pointed to any case which has clearly established under a state-created danger theory that a social worker could be liable to a foster child who suffered from a lack of monitoring and medical treatment in a foster care placement.3 The only Ninth Circuit cases clearly holding social workers accountable under a state-created danger doctrine arise in contexts where a social worker placed the child with an abusive or dangerous foster parent.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#71",""
"Tamas, 630 F.3d at 843-44; Henry A, 678 F.3d at 1002. Ninth Circuit case law therefore does not clearly establish that the state created danger doctrine encompasses passively failing to provide the correct level of medical care and monitoring as opposed to exposing children to affirmative dangers that they otherwise would not have faced. 2.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#72",""
"Alleged Conduct Does Not Violate Clearly Established Rights Under the State-Created Danger Doctrine Having determined the contours of clearly established rights of foster children under the state-created danger doctrine, the Court next examines Plaintiff's allegations to determine whether a reasonable social worker would know that his or her conduct surrounding Isaiah's care violated these rights. As described above, Plaintiff alleges that Social Worker Defendants failed to placed Isaiah in foster homes and facilities that could provide him with the level of supervision and treatment that he required for his mental health and drug abuse problems. FAC ¶¶ 86-89, 97-100, 108-111.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#73",""
"Plaintiff does not allege that Social Worker Defendants placed him with an abusive or dangerous foster parent or another affirmative, external source of danger that he would not have faced if it were not for that placement. Here, the dangers besetting Isaiah—his mental health condition and drug addiction problem—did not come from the placement: they came from his own self-destructive behaviors. Under these circumstances, a reasonable social worker would not have understood that failing to provide Isaiah with placements that fully met his needs was tantamount to subjecting him to an affirmative, external danger.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#74",""
"Because the law does not clearly extend liability for state-created dangers to such failures to treat, supervise, and protect a foster child from himself, a reasonable social worker would not have known that his or her conduct violated a right under a state-created danger theory. Shafer v. Cty. of Santa Barbara, 868 F.3d 1110, 1117 (9th Cir. 2017) (holding that qualified immunity applies if no clearly established law exists on the issue); see also White, 580 U.S. at 79 (noting that clearly established law must be ""particularized"" to the facts of the case). Social Worker Defendants are therefore entitled to qualified immunity on Claim 2.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#75",""
"C. Qualified Immunity for Plaintiff's Federal Statutory Rights Claim (Claim 3) Finally, Social Worker Defendants assert qualified immunity for Plaintiff's claim that they violated the Adoption Assistance and Child Welfare Act of 1980 by failing to incorporate adequate mental health services and drug treatment protocols into Isaiah's case plan. In support of their assertion, Social Worker Defendants argue that existing law does not clearly establish that case plans need to incorporate specific mental health and drug treatment protocols. 1.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#76",""
"A Foster Child's Clearly Established Rights to a Case Plan In 1980, Congress amended the Social Security Act to enact the Adoption Assistance and Child Welfare Act of 1980 (the ""CWA""), which required state foster care systems to meet certain minimum conditions to qualify for federal funds. 42 U.S.C. §§ 621, 670. As relevant here, the state is required to develop a ""case plan"" for each foster child pursuant to the CWA's ""case plan provisions."" See 42 U.S.C. §§ 671(a)(16) and 675(1).","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#77",""
"The statute defines a case plan as a written document that describes the type of placement, the appropriateness of the placement, and how the state plans to carry out the placement of the child. 42 U.S.C. § 675(1). The plan must include the child's health and educational records, a description of the child's permanency plan, and a plan for ensuring the child's educational stability.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#78",""
"42 U.S.C. § 675(1); Henry A., 678 F.3d at 1006. The case plan must generally ensure that the foster child receives ""safe and proper care"" to address the needs of the child while in foster care but does not otherwise specify what constitutes such safe and proper care. 42 U.S.C § 675(1)(B).","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#79",""
"Despite Plaintiff's assertion that the CWA requires a case plan to specify appropriate mental health and substance abuse protocols, the Court has not identified any case law that establishes that a case plan must contain this level of specificity. Neither the Ninth Circuit nor a consensus from other circuits has ruled that a foster child's right to a case plan under the CWA includes a certain degree or level of mental health and drug treatment. While Ninth Circuit law generally recognizes a foster child's right to have a case plan, it does not provide guidance on the particularities of the case plan.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#80",""
"In Henry A., foster children brought a Section 1983 claim premised on violations of the case plan provisions requiring the development of a case plan for a foster child. Id. at 1006. There, the Ninth Circuit found a violation of the CWA because some of the foster children did not receive a case plan at all.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#81",""
"Id. Neither the Ninth Circuit nor other circuits have otherwise examined what specific treatments need to be included in a case plan to be compliant with the CWA. Cf. California State Foster Parent Ass'n v. Wagner, 624 F.3d 974, 978-980 (9th Cir. 2010) (discussing rights guaranteed by non-case plan provisions of the CWA); Lynch v. Dukakis, 719 F.2d 504, 509 (1st Cir. 1983) (discussing rights to a case plan).","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#82",""
"2. Alleged Conduct Does Not Violate Clearly Established Rights to a Case Plan The Court examines Plaintiff's allegations to determine whether a reasonable social worker would know that his or her conduct violated the requirements of the CWA. In this case, Plaintiff does not allege that Isaiah received no case plan under the CWA.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#83",""
"Instead, she alleges that Social Worker Defendants violated the CWA by failing to provide a case plan with appropriate services for his needs such as mental health and drug treatment. FAC ¶ 193. Because binding case law does not clearly establish that such a failure violates the CWA's case plan requirements, a reasonable social worker would not have known that providing Isaiah with a case plan that does not specify adequate mental health and drug treatment plans would have violated his rights under the CWA.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#84",""
"Social Worker Defendants are therefore entitled to qualified immunity on Claim 3. IV. CONCLUSION For the reasons discussed above, the Court DENIES Defendants Evelyn Gorospe, Ariel Pearson, Natania Cibrian, Thomas Ruff, Kymberlee Watson, and Kirstin Niemann's motion to dismiss on the basis of qualified immunity as to Claim 1 and GRANTS the motion as to Claims 2-3 [Dkt.","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#85",""
"24]. IT IS SO ORDERED. Dated: June 16, 2023 /s/ Jinsook Ohta Honorable Jinsook Ohta United States District Judge End of Document","Shane v. Cnty. of San Diego, 677 F. Supp. 3d 1127#86",""
"REPORT AND RECOMMENDATION OF UNITED STATES MAGISTRATE JUDGE To the Honorable United States District Judge Orlando Garcia: This Report and Recommendation concerns Defendant Laura Lizbeth Rivera-Ramos's Motion to Suppress. See Dkt. Nos.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#1",""
"24 (Motion), 28 (Response), 36 (hearing transcript). The District Court referred the motion by Text Order, dated March 10, 2023. Authority to enter this Report and Recommendation stems from 28 U.S.C. § 636(b).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#2",""
"Following the referral, this Court on April 19 held a hearing on the motion at which Defendant, her counsel, and counsel for the Government were present. See Dkt. No. 36.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#3",""
"For the reasons stated below, Defendant's Motion to Suppress, Dkt. No. 24, should be DENIED. Background Defendant Laura Rivera-Ramos is charged with conspiracy to transport aliens and alien transportation in violation of 18 U.S.C. § 1324(a)(1)(A)(v)(I)/(B)(i) and § 1324(a)(1)(A)(ii)/(B)(i).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#4",""
"The charges stem from a warrantless traffic stop that occurred on September 15, 2022. Kerr County Sheriff's Deputy Brandon Rowe, who testified at the April 19 hearing, instigated the stop. At approximately 7:45 a.m. on September 15, Deputy Rowe was working criminal interdiction, focusing on looking for human smuggling, on Highway 41 in Kerr County, Texas.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#5",""
"See Dkt. No. 36 at 13. While driving on Highway 41, Rowe noticed a black 2009 Chevrolet Silverado pickup truck.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#6",""
"Id. at 14. Rowe was not on the lookout for this particular vehicle. Id. at 22.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#7",""
"Instead, according to Rowe's hearing testimony, he noticed the Silverado pickup because it was riding low, which he explained at the hearing can be an indicator of human trafficking: I noticed the back end was basically sitting extremely low. So just based on that determination, I decided to at least follow this vehicle and look into it. * * * Based on my experience and the fact that this was a known human smuggling corridor, very often, especially during that time frame [i.e., 7:30 a.m.], we were getting human smuggling events where there was a large amount of humans in the beds of pickup trucks, causing the back end to be weighted down. Id. at 14-15.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#8",""
"In response to questioning at the hearing, Rowe agreed that he had previuosly ""actually observed other vehicles with people inside that kind of were sagging the same way"" as the pickup he observed on September 15. Id. at 15. Having noticed the pickup, Rowe followed it in his vehicle.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#9",""
"After about ""two to three miles,"" the pickup stopped at the intersection of State Highway 27 and Highway 41, with Rowe pulling up to stop behind it. Id. at 23-24. Then, as the pickup accelerated and pulled away from the stop, the truck's bed dipped.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#10",""
"Id. at 15. This, Rowe testified, allowed him to view into the bed, where he saw ""multiple humans laying [sic] down, concealed in the . . . bed of that pickup truck."" Id. Rowe also testified that the area in which he observed the pickup is a known human smuggling route. Id. at 16.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#11",""
"And the time of the day was significant as well because, according to Rowe's experience and understanding, traffickers in previous incidents ""were picking up these [people] . . . around 6:00,"" and that ""by the time they got up to where we were at"" on Highway 41, ""it was 7:30, 8:30 o'clock in the morning."" Id. After seeing the people ""concealed"" in the bed of the pickup, id. at 15, Rowe's testimony continued, he radioed for backup and continued to follow the pickup, id. at 18. Backup arrived after about 15 minutes, at which time Rowe initiated a traffic stop. Id. Upon stopping the pickup, Rowe testified, he learned there were 12 people in total in the truck, including Defendant Rivera, who was the driver.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#12",""
"Id. at 18-19. Two other adults accompanied Rivera in the front seat(s) of the pickup's cab, five others were in the backseat of the pickup's extended cab, and the remaining four were in the pickup's bed. See DX1 at 3:02 to 6:24.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#13",""
"Deputy Reusser assisted with the traffic stop and spoke to the passengers, who ""admitted that they had crossed [the border] near Eagle Pass and that they were all non-citizens of the United States."" Dkt. No. 36 at 21. Rivera also made statements to officers, and officers seized her cell phone at that time as well.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#14",""
"See Dkt. No. 24 at 2. There is video evidence of these events.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#15",""
"Rowe's vehicle had a dashboard camera, and this dash cam recorded events after he began following the pickup. See DX1. Rowe's body camera was not functioning correctly, however, and there is no body camera footage of these events from his camera.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#16",""
"See Dkt. No. 36 at 19-20. But other officers who assisted Rowe were equipped with body cameras, and their cameras recorded events from their perspective once they arrived to assist with the stop.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#17",""
"Id. at 6. The moment Rowe spotted the individuals concealed in the bed of the pickup, however, is not captured on either his body camera or vehicle camera. Analysis At issue is the propriety of Deputy Rowe's warrantless traffic stop, at which he pulled over the Silverado pickup and walked up to it (with other officers) to peer into its bed and locate the individuals there and in the cab.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#18",""
"Rivera argues the traffic stop was unlawful, and therefore the evidence obtained as a result should be suppressed. Dkt. No. 24 at 2 (""Ms.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#19",""
"Rivera-Ramos moves to suppress the aliens, the Defendants' statements, the aliens' statements, the results of the phone searches, the results of the physical search of the vehicle, and any other fruits of this stop.""). The Court is unpersuaded by Rivera's arguments and, therefore, recommends that Rivera's motion be denied, as discussed more fully below. A. Deputy Rowe Credibly Testified at the Hearing.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#20",""
"The first issue to address is the credibility of Deputy Rowe. At the hearing, Rivera questioned Rowe's credibility in at least three ways. First, through counsel she highlighted certain alleged inconsistencies between Rowe's testimony and other evidence.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#21",""
"The Court, however, finds Rowe credible and reliable. Rivera's noted alleged inconsistencies are not sufficient to bring Rowe's credibility meaningfully into question. For example, he plausibly explained that his use of the term ""subject"" instead of the plural, ""subjects,"" at various times in his written statements was a simple typographical error.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#22",""
"See Dkt. No. 36 at 28-30. Second, Rivera attacked Rowe's credibility by relying on testimony from a defense investigator who attempted to re-create the events from September 15, 2022, to demonstrate that Rowe could not have seen the four individuals in the pickup's bed prior to the stop.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#23",""
"See id. at 57-85. But the re-creation was not sufficiently similar to the events in question to provide meaningful assistance to the Court. For example, the re-creation involved only three individuals in the bed of a pickup, not four in the bed, five in the back seats of the cab, and three up front.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#24",""
"See Def. Exs. 4D, 4E, 4F.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#25",""
"Moreover, the re-creation used a 2020 model Silverado pickup. Dkt. No. 36 at 59.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#26",""
"Rivera drove a 2009 model on September 15. Id. at 69-70. No hearing testimony or other evidence sufficiently addressed the possible consequences of this disparity, including potential differences in the condition of the two pickups' suspensions or the vehicles' heights.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#27",""
"E.g., id. at 70 (possible height difference). Third, Rivera questioned Rowe's credibility based on the video evidence. But any discrepancies between Rowe's testimony and the video evidence are minor, readily explained, or both.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#28",""
"For example, it is of no moment that Rowe's dash cam video does not at any point show individuals concealed in the bed of the pickup, even as Rowe followed behind the pickup. See DX1. The key moment, when Rivera's Silverado pickup dipped down as it accelerated uphill from a stop at the intersection of State Highway 27 and Highway 41, is not shown on any video.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#29",""
"Indeed, Rowe testified plainly that he saw ""multiple humans laying [sic] down, concealed in the . . . bed of that pickup truck."" Id. at 15. It is plausible that Rowe only saw the individuals as the truck accelerated away and at no other time, at least until he pulled the pickup over. That state of affairs is consistent with the video evidence.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#30",""
"Further, it hardly assists Rivera's case that multiple individuals remained concealed in the pickup's bed for the entire time that Rowe followed, apart from a single fleeting instant when Rowe saw them. See Dkt. No. 36 at 32.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#31",""
"If four individuals were innocently riding in the pickup's bed, one would expect at some point that their presence would have been picked up on dash cam video from Rowe's vehicle taken after he began to follow the pickup. See DX1. But not one glimmer of their presence occurred during this time.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#32",""
"This corroborates Rowe's view that these individuals were concealed in the pickup's bed, not merely innocently riding in it. And one would also expect that the four individuals riding in a pickup's bed might find a more comfortable way to arrange themselves rather than lying completely prone, as the limited space in the bed would require for them to remain entirely out of sight. B. The Stop Was Lawful.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#33",""
"The information that Deputy Rowe testified he had at the time of the stop is sufficient to justify the stop. What is required to justify this type of an investigative stop is a ""reasonable suspicion that criminal activity may be afoot."" United States v. Basey, 816 F.2d 980, 988 (5th Cir. 1987) (cleaned up); accord Terry v. Ohio, 392 U.S. 1, 30, 88 S. Ct. 1868, 20 L. Ed. 2d 889 (1968).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#34",""
"Courts review ""the totality of the circumstances of each case to see whether the detaining officer has a particularized and objective basis for suspecting legal wrongdoing."" United States v. Pack, 612 F.3d 341, 352 (5th Cir. 2010) (quoting United States v. Arvizu, 534 U.S. 266, 273, 122 S. Ct. 744, 151 L. Ed. 2d 740 (2002)). ""This process allows officers to draw on their own experience and specialized training to make inferences from and deductions about the cumulative information available to them that 'might well elude an untrained person.'"" Arvizu, 534 U.S. at 273 (quoting United States v. Cortez, 449 U.S. 411, 418, 101 S. Ct. 690, 66 L. Ed. 2d 621 (1981)).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#35",""
"The test for reasonable suspicion under the Fourth Amendment is an objective one. See Scott v. United States, 436 U.S. 128, 137-38, 98 S. Ct. 1717, 56 L. Ed. 2d 168 (1978).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#36",""
"Here, it is satisfied. The information available to Rowe included the following: (1) the vehicle's characteristics and the fact that it was riding low; (2) his brief observation of multiple individuals lying down and concealed in the bed of the truck; and (3) that the vehicle was on a known smuggling route at a time of day at which human smuggling was known to take place in that area. With respect to the vehicle's characteristics, Rowe testified that in his experience pickup trucks are frequently used in this area, on this route, and at this time of day to smuggle individuals.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#37",""
"Dkt. No. 36 at 15. He testified that a truck riding low is an indicator that it might be smuggling humans in the bed.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#38",""
"See United States v. Varela-Andujo, 746 F.2d 1046, 1048 (5th Cir. 1984) (observation of a knee and a hand protruding from a tarp covering a truck bed a factor in establishing reasonable suspicion for suspected alien smuggling). Rowe had personally observed that other vehicles sagged, in the way Rivera's truck was sagging, when they were used to smuggle individuals. Dkt.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#39",""
"No. 36 at 15. Rowe also observed multiple individuals concealed in the truck's bed. As mentioned, those four individuals did not move or shift such that Rowe ever saw them, except for in a single moment when he was able to peer briefly into the pickup's bed.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#40",""
"This was also, in his experience, an indicator of a possible smuggling event. See United States v. Cervantes, 797 F.3d 326, 336 (5th Cir. 2015) (agent's 16 years of ""experience is a factor weighing in favor of reasonable suspicion""); United States v. Sanchez-Pena, 336 F.3d 431, 437 (5th Cir. 2003) (officer's training can allow an officer to ""draw inferences and make deductions that might well elude an untrained person"" (cleaned up)). And, finally, all of this took place on a known smuggling route and at a time of day at which other smuggling events in this area had occurred.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#41",""
"See Cervantes, 797 F.3d at 330; United States v. Aldaco, 168 F.3d 148, 151-52 (5th Cir. 1999). In combination, this information provides the needed reasonable suspicion. See United States v. Olivares-Pacheco, 633 F.3d 399, 402 (5th Cir. 2011) (""Factors that ordinarily constitute innocent behavior may provide a composite picture sufficient to raise reasonable suspicion in the minds of experienced officers."" (quotation omitted)).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#42",""
"The many cases cited by the Government in its Response support this conclusion. See generally Dkt. No. 28 at 3-8 (citing multiple cases).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#43",""
"Conclusion For these reasons, Defendant's Motion to Suppress, Dkt. No. 24, should be DENIED. Instructions for Service and Notice of Right to Object/Appeal The United States District Clerk shall serve a copy of this report and recommendation on all parties by either (1) electronic transmittal to all parties represented by attorneys registered as a ""filing user"" with the clerk of court, or (2) by mailing a copy by certified mail, return receipt requested, to those not registered.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#44",""
"Written objections to this report and recommendation must be filed within fourteen (14) days after being served with a copy of same, unless this time period is modified by the district court. 28 U.S.C. § 636(b)(1); Fed. R. Crim. P. 59.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#45",""
"The objecting party shall file the objections with the Clerk of the Court and serve the objections on all other parties. A party filing objections must specifically identify those findings, conclusions, or recommendations to which objections are being made and the basis for such objections; the district court need not consider frivolous, conclusory, or general objections. A party's failure to file written objections to the proposed findings, conclusions, and recommendations contained in this report shall bar the party from a de novo determination by the district court.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#46",""
"Thomas v. Arn, 474 U.S. 140, 149-52, 106 S. Ct. 466, 88 L. Ed. 2d 435 (1985); Acuna v. Brown & Root, Inc., 200 F.3d 335, 340 (5th Cir. 2000). Additionally, failure to timely file written objections to the proposed findings, conclusions, and recommendations contained in this report and recommendation shall bar the aggrieved party, except upon grounds of plain error, from attacking on appeal the unobjected-to proposed factual findings and legal conclusions accepted by the district court.","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#47",""
"Douglass v. United Servs. Auto. Ass'n, 79 F.3d 1415, 1428-29 (5th Cir. 1996) (en banc).","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#48",""
"IT IS SO ORDERED. SIGNED on 1st day of August, 2023. /s/ Richard B. Farrer RICHARD B. FARRER UNITED STATES MAGISTRATE JUDGE End of Document","United States v. Rivera-Ramos, 2023 U.S. Dist. LEXIS 145374#49",""
"Debra Ann Livingston, Chief Judge: During the summer of 2011, Plaintiff-Appellant Veronica-May Clark (""Clark""), an incarcerated transgender woman serving a 75-year term of imprisonment for murder, assault, and burglary, was repeatedly sexually assaulted by Defendant-Appellee Thomas Hanley (""Hanley""), a corrections officer at the Connecticut prison facility where Clark was then housed.1 Clark initiated the present action in the fall of 2018—more than seven years after Hanley's abuse—asserting federal civil rights claims under 42 U.S.C. § 1983 for violation of her Eighth Amendment rights, along with tort claims under Connecticut law. Conceding that she filed this action more than four years beyond the applicable statute of limitations, Clark asserts that the trauma she suffered in 2011 and her fear of retaliation from corrections staff, aggravated by her then-undisclosed gender dysphoria, constitute extraordinary circumstances that prevented her from taking timely steps to file this action against Hanley and other allegedly acquiescent corrections officers (together, the ""Defendants""). Clark seeks equitable tolling of the statute of limitations.","Clark v. Hanley, 89 F.4th 78#1",""
"Based primarily on its assessment of Clark's testimony at an evidentiary hearing, the United States District Court for the District of Connecticut (Meyer, J.) denied Clark's equitable tolling claim and dismissed her suit as untimely. 2 The court concluded that portions of Clark's testimony, which focused on the circumstances that allegedly hampered her from timely filing, were not credible, and that Clark's asserted bases for equitable tolling were, in large part, a post hoc rationalization to buttress her equitable tolling claim.3 On appeal, Clark contends that the district court engaged in impermissible factfinding at the pleading stage and resolved contested issues of fact bearing on the merits of her legal claims in violation of the Seventh Amendment. Clark further argues that the record adduced at the evidentiary hearing entitles her to equitable tolling as a matter of law.","Clark v. Hanley, 89 F.4th 78#2",""
"These arguments lack merit. As set forth below, we have repeatedly approved—sometimes even required—evidentiary hearings to resolve equitable tolling claims. HN1[] Relatedly, equitable tolling is an issue that is generally appropriate for a court, rather than a jury, to resolve, so long as the court's factual findings do not deprive plaintiffs of their Seventh Amendment right to a jury trial on any legal claims.","Clark v. Hanley, 89 F.4th 78#3",""
"Here, the district court did not err by holding an evidentiary hearing and gauging the credibility of Clark's testimony in concluding that she was not entitled to equitable tolling. And because the court's factual findings relate squarely to her equitable tolling claim, without intruding upon the merits of her legal claims, the court did not flout Clark's Seventh Amendment rights. Nor was it an abuse of discretion for the district court to hold on the record before it that Clark failed to carry her burden to show circumstances that warrant equitable tolling.","Clark v. Hanley, 89 F.4th 78#4",""
